ssid,index,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,1,0.07520796206119236,0.07520542584097598,0.075,pamld,multiplex,28267,295,657,28924,28562,0.010328408374763672,0.022714700594661873,0.9896715916252363,0.9772852994053381,0.9834394461260133
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,1,0.07520796206119236,0.07520542584097598,0.075,pamld_ap,multiplex,28244,214,680,28924,28458,0.007519853819664067,0.023509887982298437,0.992480146180336,0.9764901120177015,0.9844202014569029
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,1,0.07520796206119236,0.07520542584097598,0.075,pamld_u,multiplex,28321,1048,603,28924,29369,0.035683884367870886,0.02084773890194994,0.9643161156321292,0.9791522610980501,0.971677559912854
a11ae384-a142-4f33-a129-eda212675e2a,1,0.10880495881837887,0.10878126566542042,0.1,deml,multiplex,26107,2284,2817,28924,28391,0.08044802930506147,0.09739316830313927,0.9195519706949385,0.9026068316968607,0.9110006106603856
a11ae384-a142-4f33-a129-eda212675e2a,1,0.10880495881837887,0.10878126566542042,0.1,mdd,multiplex,19902,3,9022,28924,19905,0.00015071590052750564,0.3119208961416125,0.9998492840994725,0.6880791038583876,0.8151713121300866
a11ae384-a142-4f33-a129-eda212675e2a,1,0.10880495881837887,0.10878126566542042,0.1,pamld,multiplex,26970,462,1954,28924,27432,0.0168416447944007,0.06755635458442816,0.9831583552055994,0.9324436454155719,0.957129675633473
a11ae384-a142-4f33-a129-eda212675e2a,1,0.10880495881837887,0.10878126566542042,0.1,pamld_ap,multiplex,26908,290,2016,28924,27198,0.010662548716817414,0.0696999031945789,0.9893374512831826,0.9303000968054211,0.958910944014825
a11ae384-a142-4f33-a129-eda212675e2a,1,0.10880495881837887,0.10878126566542042,0.1,pamld_u,multiplex,27321,1126,1603,28924,28447,0.03958238127043273,0.05542110358180058,0.9604176187295672,0.9445788964181994,0.9524324135887469
44eb6f63-6f19-47d2-acce-67f2e59395bf,1,0.13099360530178397,0.13098051267870198,0.125,deml,multiplex,24280,2446,4644,28924,26726,0.09152136496295742,0.16055870557322638,0.9084786350370426,0.8394412944267736,0.8725965858041331
44eb6f63-6f19-47d2-acce-67f2e59395bf,1,0.13099360530178397,0.13098051267870198,0.125,mdd,multiplex,17559,3,11365,28924,17562,0.00017082336863682952,0.39292628958650255,0.9998291766313632,0.6070737104134974,0.7554532547433637
44eb6f63-6f19-47d2-acce-67f2e59395bf,1,0.13099360530178397,0.13098051267870198,0.125,pamld,multiplex,25441,365,3483,28924,25806,0.014143997519956599,0.12041902917991978,0.9858560024800433,0.8795809708200802,0.9296912114014252
44eb6f63-6f19-47d2-acce-67f2e59395bf,1,0.13099360530178397,0.13098051267870198,0.125,pamld_ap,multiplex,25389,263,3535,28924,25652,0.010252611882114454,0.12221684414327202,0.9897473881178855,0.877783155856728,0.9304089709762533
44eb6f63-6f19-47d2-acce-67f2e59395bf,1,0.13099360530178397,0.13098051267870198,0.125,pamld_u,multiplex,26179,885,2745,28924,27064,0.032700266036062665,0.09490388604619002,0.9672997339639373,0.90509611395381,0.9351646781453169
1a0d8c5d-3a1b-48ec-894a-12888c735955,1,0.1582891376823743,0.15830620217848237,0.15,deml,multiplex,21605,2532,7319,28924,24137,0.1049011890458632,0.25304245609182685,0.8950988109541368,0.7469575439081731,0.8143457530012627
1a0d8c5d-3a1b-48ec-894a-12888c735955,1,0.1582891376823743,0.15830620217848237,0.15,mdd,multiplex,14572,10,14352,28924,14582,0.0006857769853243725,0.4961969298852164,0.9993142230146757,0.5038030701147835,0.6698846136165126
1a0d8c5d-3a1b-48ec-894a-12888c735955,1,0.1582891376823743,0.15830620217848237,0.15,pamld,multiplex,22913,255,6011,28924,23168,0.011006560773480664,0.2078204950905822,0.9889934392265194,0.7921795049094178,0.879712815787453
1a0d8c5d-3a1b-48ec-894a-12888c735955,1,0.1582891376823743,0.15830620217848237,0.15,pamld_ap,multiplex,22826,225,6098,28924,23051,0.009760964817144592,0.21082837781772923,0.9902390351828554,0.7891716221822708,0.8783453583453583
1a0d8c5d-3a1b-48ec-894a-12888c735955,1,0.1582891376823743,0.15830620217848237,0.15,pamld_u,multiplex,24152,673,4772,28924,24825,0.027109768378650555,0.16498409625224728,0.9728902316213495,0.8350159037477527,0.8986957896891105
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,1,0.19164928300647516,0.19161565871769887,0.2,deml,multiplex,17884,2660,11040,28924,20544,0.12947819314641745,0.3816899460655511,0.8705218068535826,0.6183100539344489,0.723053286973397
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,1,0.19164928300647516,0.19161565871769887,0.2,mdd,multiplex,11377,13,17547,28924,11390,0.0011413520632133451,0.6066588300373392,0.9988586479367867,0.3933411699626608,0.5644193084288336
